instancia26.txt_2_best	instancia26.txt_2_current	
6.15374e+06	6.15374e+06	
6.09799e+06	6.11601e+06	
6.07833e+06	6.14637e+06	
6.02312e+06	6.09899e+06	
6.02312e+06	6.1578e+06	
5.96537e+06	6.04866e+06	
5.96537e+06	6.14333e+06	
5.96537e+06	6.14327e+06	
5.95808e+06	6.05788e+06	
5.932e+06	5.95768e+06	
5.932e+06	6.08869e+06	
5.91469e+06	5.9902e+06	
5.91469e+06	6.15235e+06	
5.90332e+06	6.0876e+06	
5.90332e+06	6.13189e+06	
5.90332e+06	5.9945e+06	
5.89874e+06	6.02047e+06	
5.89874e+06	6.09911e+06	
5.89489e+06	6.07095e+06	
5.89489e+06	6.11573e+06	
5.89489e+06	6.13756e+06	
5.8842e+06	6.0938e+06	
5.8842e+06	6.12865e+06	
5.87421e+06	6.00053e+06	
5.85703e+06	5.99674e+06	
5.85099e+06	6.1049e+06	
5.85099e+06	6.11123e+06	
5.85099e+06	6.21138e+06	
5.85099e+06	6.06932e+06	
5.85099e+06	6.05592e+06	
5.85099e+06	6.05906e+06	
5.85099e+06	6.06856e+06	
5.85099e+06	6.15551e+06	
5.85099e+06	6.06327e+06	
5.85099e+06	6.06925e+06	
5.84951e+06	6.02103e+06	
5.84951e+06	6.01787e+06	
5.84951e+06	6.08774e+06	
5.84951e+06	6.0937e+06	
5.84951e+06	6.12639e+06	
5.84951e+06	6.07468e+06	
5.84951e+06	6.09691e+06	
5.83788e+06	5.96499e+06	
5.83788e+06	5.99884e+06	
5.83488e+06	6.10521e+06	
5.83488e+06	6.0955e+06	
5.83488e+06	6.03035e+06	
5.83488e+06	6.05611e+06	
5.83488e+06	6.0163e+06	
5.83488e+06	6.11676e+06	
5.81894e+06	6.10997e+06	
5.81894e+06	6.08012e+06	
5.81894e+06	6.00596e+06	
5.81893e+06	6.02319e+06	
5.81893e+06	6.16772e+06	
5.81893e+06	6.04667e+06	
5.81893e+06	6.16278e+06	
5.81893e+06	6.12084e+06	
5.81893e+06	6.18e+06	
5.81893e+06	6.11392e+06	
5.81893e+06	6.07228e+06	
5.81893e+06	5.94207e+06	
5.81893e+06	6.21036e+06	
5.81893e+06	6.04063e+06	
5.81893e+06	6.16889e+06	
5.81893e+06	6.14089e+06	
5.81474e+06	5.94313e+06	
5.81474e+06	6.1781e+06	
5.81474e+06	6.1128e+06	
5.81474e+06	6.10899e+06	
5.81474e+06	6.07935e+06	
5.81474e+06	6.01055e+06	
5.81028e+06	6.09556e+06	
5.81028e+06	6.19194e+06	
5.81028e+06	6.12172e+06	
5.81028e+06	6.04387e+06	
5.81028e+06	6.19278e+06	
5.81028e+06	6.05492e+06	
5.81028e+06	6.22807e+06	
5.81028e+06	6.08155e+06	
5.81028e+06	6.10734e+06	
5.80765e+06	6.07932e+06	
5.80765e+06	6.02942e+06	
5.80765e+06	6.019e+06	
5.8022e+06	6.03266e+06	
5.8022e+06	6.00969e+06	
5.8022e+06	6.07811e+06	
5.8022e+06	5.99108e+06	
5.8022e+06	6.10516e+06	
5.8022e+06	6.08345e+06	
5.8022e+06	6.11719e+06	
5.8022e+06	6.18153e+06	
5.8022e+06	6.12996e+06	
5.8022e+06	6.03394e+06	
