instancia16.txt_5_currentSA	instancia16.txt_5_bestSA	instancia16.txt_5_currentTS	instancia16.txt_5_bestTS	instancia16.txt_5_currentGrasp	instancia16.txt_5_bestGrasp	instancia16.txt_5_currentIG	instancia16.txt_5_bestIG	
122.2	122.2	84.8	84.8	118.6	118.6	118.6	118.6	
122.2	122.2	76.8	76.8	118.6	118.6	0	0	
110.8	110.8	70.8	70.8	118.6	118.6	0	0	
111.6	110.8	70.8	70.8	110.4	110.4	0	0	
98.8	98.8	70.8	70.8	106.4	106.4	0	0	
100	98.8	70.8	70.8	100.2	100.2	0	0	
106	98.8	70.8	70.8	98.2	98.2	0	0	
106.4	98.8	70.8	70.8	94.2	94.2	0	0	
106.4	98.8	70.8	70.8	92.2	92.2	0	0	
113	98.8	70.8	70.8	88.2	88.2	0	0	
120.6	98.8	70.8	70.8	84	84	0	0	
114.4	98.8	70.8	70.8	80	80	0	0	
102.8	98.8	70.8	70.8	78.2	78.2	0	0	
102.4	98.8	70.8	70.8	70.2	70.2	0	0	
112.4	98.8	70.8	70.8	68.2	68.2	0	0	
115.6	98.8	70.8	70.8	118.6	68.2	0	0	
115.6	98.8	70.8	70.8	118.6	68.2	0	0	
111.4	98.8	70.8	70.8	110.4	68.2	0	0	
115.6	98.8	70.8	70.8	106.4	68.2	0	0	
115.6	98.8	70.8	70.8	100.2	68.2	0	0	
116.6	98.8	70.8	70.8	98.2	68.2	0	0	
119.8	98.8	68.8	68.8	94.2	68.2	0	0	
119	98.8	68.6	68.6	92.2	68.2	0	0	
110.8	98.8	68.6	68.6	88.2	68.2	0	0	
111	98.8	68.6	68.6	84	68.2	0	0	
99	98.8	68.6	68.6	80	68.2	0	0	
99	98.8	68.6	68.6	78.2	68.2	0	0	
99	98.8	68.6	68.6	70.2	68.2	0	0	
107	98.8	68.6	68.6	68.2	68.2	0	0	
111	98.8	68.6	68.6	118.6	68.2	0	0	
111	98.8	68.6	68.6	118.6	68.2	0	0	
102.6	98.8	68.6	68.6	110.4	68.2	0	0	
102.6	98.8	68.6	68.6	106.4	68.2	0	0	
100.4	98.8	68.6	68.6	100.2	68.2	0	0	
100.4	98.8	68.6	68.6	98.2	68.2	0	0	
96.2	96.2	68.6	68.6	94.2	68.2	0	0	
104.2	96.2	68.6	68.6	92.2	68.2	0	0	
102.2	96.2	68.6	68.6	88.2	68.2	0	0	
110.4	96.2	68.6	68.6	84	68.2	0	0	
104.6	96.2	68.6	68.6	80	68.2	0	0	
104.6	96.2	68.6	68.6	78.2	68.2	0	0	
113	96.2	68.6	68.6	70.2	68.2	0	0	
120	96.2	68.6	68.6	68.2	68.2	0	0	
120	96.2	68.6	68.6	118.6	68.2	0	0	
120	96.2	68.6	68.6	118.6	68.2	0	0	
120	96.2	68.6	68.6	110.4	68.2	0	0	
120.2	96.2	68.6	68.6	106.4	68.2	0	0	
122.8	96.2	68.6	68.6	100.2	68.2	0	0	
124.6	96.2	68.6	68.6	98.2	68.2	0	0	
118.6	96.2	68.6	68.6	94.2	68.2	0	0	
118.6	96.2	68.6	68.6	92.2	68.2	0	0	
116	96.2	68.6	68.6	88.2	68.2	0	0	
120	96.2	68.6	68.6	84	68.2	0	0	
112	96.2	68.6	68.6	80	68.2	0	0	
111.2	96.2	68.6	68.6	78.2	68.2	0	0	
111.6	96.2	68.6	68.6	70.2	68.2	0	0	
117.4	96.2	68.6	68.6	68.2	68.2	0	0	
117.4	96.2	68.6	68.6	118.6	68.2	0	0	
118.4	96.2	68.6	68.6	118.6	68.2	0	0	
120.8	96.2	68.6	68.6	110.4	68.2	0	0	
120.8	96.2	68.6	68.6	106.4	68.2	0	0	
121.4	96.2	68.6	68.6	100.2	68.2	0	0	
126.2	96.2	68.6	68.6	98.2	68.2	0	0	
120	96.2	68.6	68.6	94.2	68.2	0	0	
120	96.2	68.6	68.6	92.2	68.2	0	0	
123.8	96.2	68.6	68.6	88.2	68.2	0	0	
123.8	96.2	68.6	68.6	84	68.2	0	0	
127.8	96.2	68.6	68.6	80	68.2	0	0	
127	96.2	68.6	68.6	78.2	68.2	0	0	
127	96.2	68.6	68.6	70.2	68.2	0	0	
123	96.2	68.6	68.6	68.2	68.2	0	0	
124.8	96.2	68.6	68.6	118.6	68.2	0	0	
121	96.2	68.6	68.6	118.6	68.2	0	0	
121.4	96.2	68.6	68.6	110.4	68.2	0	0	
122.8	96.2	68.6	68.6	106.4	68.2	0	0	
126	96.2	68.6	68.6	100.2	68.2	0	0	
130	96.2	68.6	68.6	98.2	68.2	0	0	
124.4	96.2	68.6	68.6	94.2	68.2	0	0	
124.4	96.2	68.6	68.6	92.2	68.2	0	0	
121	96.2	68.6	68.6	88.2	68.2	0	0	
125.4	96.2	68.6	68.6	84	68.2	0	0	
121.4	96.2	68.6	68.6	80	68.2	0	0	
112.8	96.2	68.6	68.6	78.2	68.2	0	0	
104.4	96.2	68.6	68.6	70.2	68.2	0	0	
106.4	96.2	68.6	68.6	68.2	68.2	0	0	
106.4	96.2	68.6	68.6	118.6	68.2	0	0	
108.6	96.2	68.6	68.6	118.6	68.2	0	0	
100.6	96.2	68.6	68.6	110.4	68.2	0	0	
96.6	96.2	68.6	68.6	106.4	68.2	0	0	
96.6	96.2	68.6	68.6	100.2	68.2	0	0	
108.6	96.2	68.6	68.6	98.2	68.2	0	0	
108.8	96.2	68.6	68.6	94.2	68.2	0	0	
123.8	96.2	68.6	68.6	92.2	68.2	0	0	
127.8	96.2	68.6	68.6	88.2	68.2	0	0	
114.8	96.2	68.6	68.6	84	68.2	0	0	
116.8	96.2	68.6	68.6	80	68.2	0	0	
118.2	96.2	68.6	68.6	78.2	68.2	0	0	
106.2	96.2	68.6	68.6	70.2	68.2	0	0	
106.2	96.2	68.6	68.6	68.2	68.2	0	0	
103.6	96.2	68.6	68.6	118.6	68.2	0	0	
105.8	96.2	68.6	68.6	118.6	68.2	0	0	
117.2	96.2	68.6	68.6	110.4	68.2	0	0	
124	96.2	68.6	68.6	106.4	68.2	0	0	
124	96.2	68.6	68.6	100.2	68.2	0	0	
110.6	96.2	68.6	68.6	98.2	68.2	0	0	
110.6	96.2	68.6	68.6	94.2	68.2	0	0	
110.6	96.2	68.6	68.6	92.2	68.2	0	0	
108.6	96.2	68.6	68.6	88.2	68.2	0	0	
108.6	96.2	68.6	68.6	84	68.2	0	0	
108.6	96.2	68.6	68.6	80	68.2	0	0	
108.6	96.2	68.6	68.6	78.2	68.2	0	0	
108.6	96.2	68.6	68.6	70.2	68.2	0	0	
108.6	96.2	68.6	68.6	68.2	68.2	0	0	
108.6	96.2	68.6	68.6	118.6	68.2	0	0	
109	96.2	68.6	68.6	118.6	68.2	0	0	
101.2	96.2	68.6	68.6	110.4	68.2	0	0	
101.6	96.2	68.6	68.6	106.4	68.2	0	0	
95.6	95.6	68.6	68.6	100.2	68.2	0	0	
95.6	95.6	68.6	68.6	98.2	68.2	0	0	
96.8	95.6	68.6	68.6	94.2	68.2	0	0	
96.6	95.6	68.6	68.6	92.2	68.2	0	0	
97	95.6	68.6	68.6	88.2	68.2	0	0	
96.6	95.6	68.6	68.6	84	68.2	0	0	
117.6	95.6	68.6	68.6	80	68.2	0	0	
125.6	95.6	68.6	68.6	78.2	68.2	0	0	
124.4	95.6	68.6	68.6	70.2	68.2	0	0	
120.4	95.6	68.6	68.6	68.2	68.2	0	0	
116	95.6	68.6	68.6	118.6	68.2	0	0	
116	95.6	68.6	68.6	118.6	68.2	0	0	
117.6	95.6	68.6	68.6	110.4	68.2	0	0	
117.6	95.6	68.6	68.6	106.4	68.2	0	0	
111.6	95.6	68.6	68.6	100.2	68.2	0	0	
115.6	95.6	68.6	68.6	98.2	68.2	0	0	
115.6	95.6	68.6	68.6	94.2	68.2	0	0	
115.6	95.6	68.6	68.6	92.2	68.2	0	0	
115.6	95.6	68.6	68.6	88.2	68.2	0	0	
125.6	95.6	68.6	68.6	84	68.2	0	0	
125.6	95.6	68.6	68.6	80	68.2	0	0	
122.4	95.6	68.6	68.6	78.2	68.2	0	0	
118.8	95.6	68.6	68.6	70.2	68.2	0	0	
118.8	95.6	68.6	68.6	68.2	68.2	0	0	
118	95.6	68.6	68.6	118.6	68.2	0	0	
118	95.6	68.6	68.6	118.6	68.2	0	0	
124	95.6	68.6	68.6	110.4	68.2	0	0	
123.4	95.6	68.6	68.6	106.4	68.2	0	0	
119.4	95.6	68.6	68.6	100.2	68.2	0	0	
111	95.6	68.6	68.6	98.2	68.2	0	0	
113	95.6	68.6	68.6	94.2	68.2	0	0	
113.2	95.6	68.6	68.6	92.2	68.2	0	0	
117.2	95.6	68.6	68.6	88.2	68.2	0	0	
115.2	95.6	68.6	68.6	84	68.2	0	0	
115.6	95.6	68.6	68.6	80	68.2	0	0	
115.6	95.6	68.6	68.6	78.2	68.2	0	0	
119.6	95.6	68.6	68.6	70.2	68.2	0	0	
123.8	95.6	68.6	68.6	68.2	68.2	0	0	
123.8	95.6	68.6	68.6	118.6	68.2	0	0	
119.4	95.6	68.6	68.6	118.6	68.2	0	0	
112.8	95.6	68.6	68.6	110.4	68.2	0	0	
116.8	95.6	68.6	68.6	106.4	68.2	0	0	
117	95.6	68.6	68.6	100.2	68.2	0	0	
113	95.6	68.6	68.6	98.2	68.2	0	0	
105	95.6	68.6	68.6	94.2	68.2	0	0	
105	95.6	68.6	68.6	92.2	68.2	0	0	
114.2	95.6	68.6	68.6	88.2	68.2	0	0	
114.2	95.6	68.6	68.6	84	68.2	0	0	
109.8	95.6	68.6	68.6	80	68.2	0	0	
107.8	95.6	68.6	68.6	78.2	68.2	0	0	
111.4	95.6	68.6	68.6	70.2	68.2	0	0	
107.4	95.6	68.6	68.6	68.2	68.2	0	0	
107.4	95.6	68.6	68.6	118.6	68.2	0	0	
114.4	95.6	68.6	68.6	118.6	68.2	0	0	
114.8	95.6	68.6	68.6	110.4	68.2	0	0	
