instancia26.txt_4_currentFirst	instancia26.txt_4_bestFirst	instancia26.txt_4_currentBest	instancia26.txt_4_bestBest	
6.04779e+06	6.04779e+06	6.11604e+06	6.11604e+06	
6.04779e+06	6.04779e+06	6.11604e+06	6.11604e+06	
6.11021e+06	6.04779e+06	6.09528e+06	6.09528e+06	
6.10358e+06	6.04779e+06	5.79515e+06	5.79515e+06	
6.07411e+06	6.04779e+06	5.72353e+06	5.72353e+06	
6.02666e+06	6.02666e+06	5.64642e+06	5.64642e+06	
6.02269e+06	6.02269e+06	5.61915e+06	5.61915e+06	
5.94167e+06	5.94167e+06	5.59376e+06	5.59376e+06	
5.91962e+06	5.91962e+06	5.56981e+06	5.56981e+06	
5.91355e+06	5.91355e+06	5.54461e+06	5.54461e+06	
5.895e+06	5.895e+06	5.53061e+06	5.53061e+06	
5.87715e+06	5.87715e+06	5.52457e+06	5.52457e+06	
5.85367e+06	5.85367e+06	5.51967e+06	5.51967e+06	
5.8127e+06	5.8127e+06	5.51716e+06	5.51716e+06	
5.80642e+06	5.80642e+06	5.51492e+06	5.51492e+06	
5.80273e+06	5.80273e+06	5.5127e+06	5.5127e+06	
5.80268e+06	5.80268e+06	5.51064e+06	5.51064e+06	
5.76326e+06	5.76326e+06	5.5086e+06	5.5086e+06	
5.74918e+06	5.74918e+06	5.50813e+06	5.50813e+06	
5.74878e+06	5.74878e+06	5.50735e+06	5.50735e+06	
5.74684e+06	5.74684e+06	5.50691e+06	5.50691e+06	
5.73476e+06	5.73476e+06	5.50406e+06	5.50406e+06	
5.73184e+06	5.73184e+06	5.50393e+06	5.50393e+06	
5.72974e+06	5.72974e+06	6.11604e+06	5.50393e+06	
5.72893e+06	5.72893e+06	5.79738e+06	5.50393e+06	
5.72185e+06	5.72185e+06	5.72606e+06	5.50393e+06	
5.71129e+06	5.71129e+06	5.65995e+06	5.50393e+06	
5.70168e+06	5.70168e+06	5.61485e+06	5.50393e+06	
5.67901e+06	5.67901e+06	5.58611e+06	5.50393e+06	
5.67687e+06	5.67687e+06	5.57181e+06	5.50393e+06	
5.60922e+06	5.60922e+06	5.56052e+06	5.50393e+06	
5.6092e+06	5.6092e+06	5.54959e+06	5.50393e+06	
5.60675e+06	5.60675e+06	5.54073e+06	5.50393e+06	
5.60564e+06	5.60564e+06	5.53454e+06	5.50393e+06	
5.60354e+06	5.60354e+06	5.5221e+06	5.50393e+06	
5.59653e+06	5.59653e+06	5.51746e+06	5.50393e+06	
5.57507e+06	5.57507e+06	5.51229e+06	5.50393e+06	
5.57504e+06	5.57504e+06	5.50839e+06	5.50393e+06	
5.5737e+06	5.5737e+06	5.50525e+06	5.50393e+06	
5.56778e+06	5.56778e+06	5.50338e+06	5.50338e+06	
5.565e+06	5.565e+06	5.50171e+06	5.50171e+06	
5.56065e+06	5.56065e+06	5.50067e+06	5.50067e+06	
5.54667e+06	5.54667e+06	5.49929e+06	5.49929e+06	
5.54573e+06	5.54573e+06	5.4986e+06	5.4986e+06	
5.54508e+06	5.54508e+06	5.49823e+06	5.49823e+06	
5.54495e+06	5.54495e+06	5.498e+06	5.498e+06	
5.53951e+06	5.53951e+06	5.49788e+06	5.49788e+06	
5.53844e+06	5.53844e+06	5.49782e+06	5.49782e+06	
5.52776e+06	5.52776e+06	5.49782e+06	5.49782e+06	
5.52728e+06	5.52728e+06	6.11604e+06	5.49782e+06	
5.5269e+06	5.5269e+06	6.17898e+06	5.49782e+06	
5.52572e+06	5.52572e+06	5.98226e+06	5.49782e+06	
5.52425e+06	5.52425e+06	5.86373e+06	5.49782e+06	
5.52416e+06	5.52416e+06	5.77944e+06	5.49782e+06	
5.52227e+06	5.52227e+06	5.6878e+06	5.49782e+06	
5.51882e+06	5.51882e+06	5.63693e+06	5.49782e+06	
5.51768e+06	5.51768e+06	5.59695e+06	5.49782e+06	
5.51767e+06	5.51767e+06	5.55238e+06	5.49782e+06	
5.51759e+06	5.51759e+06	5.53558e+06	5.49782e+06	
5.51695e+06	5.51695e+06	5.52791e+06	5.49782e+06	
5.51015e+06	5.51015e+06	5.52051e+06	5.49782e+06	
5.50837e+06	5.50837e+06	5.51393e+06	5.49782e+06	
5.50808e+06	5.50808e+06	5.51073e+06	5.49782e+06	
5.50658e+06	5.50658e+06	5.5077e+06	5.49782e+06	
